level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.6733333333333333,0.76,0.73915,0.9610915776093801,0.9446004561583201,0.9440245274702708,0.01649112145105998,0.017067050139109294,0.016779085795084636,11.592357675496492,6.537117192888297e-26,0.6704033513179584,12.186424234792254,5.228708750828655e-28,0.7047591073153617,ViT-B-16_commonpool_l_laion_s1b_b8k,0
features,300,0.5633333333333334,0.6966666666666667,0.6738222222222222,0.9751658735672633,0.9670391307274501,0.9673576931158702,0.008126742839813232,0.007808180451393127,0.00796746164560318,8.673934411361623,2.71596998102616e-16,0.5016265758023118,8.656351562272295,3.0725191667327526e-16,0.500609733271552,ViT-B-16_commonpool_l_s1b_b8k,0
features,300,0.59,0.6733333333333333,0.6819944444444445,0.9625273847579956,0.9514889736970266,0.9504833988348643,0.011038411060969035,0.012043985923131308,0.01154119849205017,8.280458012546163,4.144646730126261e-15,0.4788712491400425,8.894304461224571,5.718778787370225e-17,0.5143709057412518,ViT-B-16_commonpool_l_text_s1b_b8k,0
features,300,0.66,0.7666666666666667,0.7386333333333334,0.9564790974060694,0.9365822231769562,0.935780079762141,0.01989687422911326,0.02069901764392853,0.020297945936520893,11.531344411226678,1.068189100395482e-25,0.6668748636306486,11.804747459795484,1.1744899402467222e-26,0.6826861701574208,ViT-B-16_datacomp_l_s1b_b8k,0
features,300,0.6133333333333333,0.74,0.7029888888888888,0.9654608736435573,0.9522971896330515,0.9515214216709137,0.013163684010505676,0.013939451972643534,0.013551567991574606,9.384109968345633,1.6603605117898693e-18,0.5426970895533836,9.952452581235653,2.4181425959117205e-20,0.5755651913649226,ViT-B-16_datacomp_xl_s13b_b90k,0
features,300,0.6466666666666666,0.7566666666666667,0.7284777777777778,0.9585568676392238,0.9375516299406688,0.9359952080249786,0.02100523769855499,0.022561659614245097,0.021783448656400046,10.3832713029147,9.049300852704378e-22,0.6004800819966107,11.603320672826984,5.984435577558031e-26,0.671037358553016,ViT-B-16_dfn2b,0
features,300,0.6166666666666667,0.73,0.7198222222222221,0.9671745276451111,0.9533589065074921,0.9524455213546753,0.013815621137619019,0.014729006290435791,0.014272313714027405,10.63098415552258,1.3298068922688636e-22,0.6148056851275896,10.824209762022543,2.939296173337411e-23,0.6259802105508329,ViT-B-16_laion2b_s34b_b88k,0
features,300,0.72,0.82,0.7762388888888888,0.9758221892515818,0.9587469339370728,0.958403497338295,0.017075255314509073,0.017418691913286845,0.01724697361389796,13.082551422229892,3.1170432732495124e-31,0.7565834802168439,13.485015197188664,1.0605850178786435e-32,0.7798585611410548,ViT-H-14_laion2b_s32b_b79k,0
features,300,0.6666666666666666,0.7833333333333333,0.7359861111111111,0.9668854133288065,0.9514066102107366,0.9512590779860814,0.015478803118069966,0.015626335342725117,0.015552569230397542,11.984510189574527,2.72361361690759e-27,0.6930821163898916,12.4501081627745,5.978721473412145e-29,0.7200083421951732,ViT-H-14_metaclip_altogether,0
features,300,0.65,0.7633333333333333,0.7399444444444445,0.98078395764033,0.9710049863656361,0.9713294899463654,0.009778971274693807,0.00945446769396464,0.009616719484329224,11.234995579727295,1.144033658252239e-24,0.649736566116106,11.381420935293578,3.555467199541996e-25,0.6582045628050324,ViT-H-14_metaclip_fullcc,0
features,300,0.6133333333333333,0.7233333333333334,0.7299722222222221,0.9711840275923411,0.9587370850642523,0.9586694767077764,0.012446942528088888,0.012514550884564718,0.012480746706326802,11.072402138704133,4.159057319173736e-24,0.6403335456605543,11.031129323787685,5.764552210459066e-24,0.6379466771876852,ViT-L-14-336-quickgelu_openai,0
features,300,0.6266666666666667,0.73,0.7266333333333334,0.9676544686158498,0.9534008544683457,0.952957212527593,0.014253614147504172,0.014697256088256836,0.014475435117880504,10.916129707425299,1.427723894237525e-23,0.6312960781124056,10.975256434128312,8.960741404311119e-24,0.6347154650604142,ViT-L-14-336_openai,0
features,300,0.6666666666666666,0.7866666666666666,0.7603666666666666,0.9858012213309606,0.9781323482592901,0.9778547670443852,0.007668873071670532,0.007946454286575318,0.007807663679122925,10.539230165837557,2.711966257993719e-22,0.6094994127891677,11.20367411387969,1.4678232825071755e-24,0.6479251980110776,ViT-L-14-CLIPA-336_datacomp1b,0
features,300,0.6433333333333333,0.77,0.750872222222222,0.9825725841522217,0.9736467315753301,0.9732450805107753,0.008925852576891581,0.009327503641446432,0.009126678109169006,9.853949788416706,5.077657245024801e-20,0.5698686265103846,10.809536066407926,3.297630753574333e-23,0.6251316072934845,ViT-L-14-CLIPA_datacomp1b,0
